Name,Index,Offset,IoType,Unit,Item,Action,DataType,IsAorB,IsSubscription,Default,Min,Max,Timeout,AlarmCode,ExeCmd,ActuatorId,SimCmd,Options,Desc
sxDeviceMotion,0,0,2,Device,Motion,,1,0,1,0,0,0,0,0,,0,,,Device Open / Close Status
syDeviceMotion,0,0,3,Device,Motion,,1,0,0,0,0,0,0,0,,1,sxDeviceMotion/0/0/0/0,,Device Open / Close Command
xDeviceLibraryVersion,0,0,0,Device,Library,Version,2,0,0,0,0,0,0,0,AxlGetLibVersion,0,,,Device Library Version
yInShuttleX1ServoOn,0,0,1,InShuttle,X1,ServoOn,0,0,0,1,0,1,0,0,AxmSignalServoOn,1,xInShuttleX1ServoOn/0/0/0/0,,Servo On Command
xInShuttleX1ServoOn,0,0,0,InShuttle,X1,ServoOn,0,0,1,0,0,1,0,0,AxmSignalIsServoOn,0,,,Servo On Status
yInShuttleX1AlarmReset,0,0,1,InShuttle,X1,AlarmReset,0,0,0,0,0,0,0,0,AxmSignalServoAlarmReset,0,,,Alarm Reset Command
xInShuttleX1AlarmStatus,0,0,0,InShuttle,X1,AlarmStatus,0,0,1,0,0,0,0,0,AxmSignalReadServoAlarm,0,,,Alarm Status
xInShuttleX1AlarmCode,0,0,0,InShuttle,X1,AlarmCode,1,0,1,0,0,0,0,0,AxmSignalReadServoAlarmCode,0,,,Alarm Code
yInShuttleX1Homing,0,0,1,InShuttle,X1,Homing,0,0,0,0,0,0,0,0,AxmHomeSetStart,0,,,Homing Command
xInShuttleX1HomingStatus,0,0,0,InShuttle,X1,HomingStatus,1,0,1,0,0,0,0,0,AxmHomeGetResult,0,,,Homing Status
yInShuttleX1PosMatch,0,0,1,InShuttle,X1,PosMatch,1,0,0,0,0,0,0,0,AxmStatusSetPosMatch,0,,,Position Matching (Zero Reset)
yInShuttleX1Stop,0,0,1,InShuttle,X1,Stop,1,0,0,0,0,0,0,0,AxmMoveStop,0,,,Move Stop Command
xInShuttleX1StopStatus,0,0,0,InShuttle,X1,StopStatus,0,0,1,0,0,0,0,0,AxmStatusReadStop,0,,,Move Stop Status
yInShuttleX1EStop,0,0,1,InShuttle,X1,EStop,1,0,0,0,0,0,0,0,AxmMoveEStop,0,,,Move Sstop Command
yInShuttleX1SStop,0,0,1,InShuttle,X1,SStop,0,0,0,0,0,0,0,0,AxmMoveSStop,0,,,Move Estop Command
xInShuttleX1PositiveLimit,0,0,0,InShuttle,X1,PositiveLimit,0,0,1,0,0,0,0,0,AxmSignalReadLimitP,0,,,Plus Limit Sensor Status
xInShuttleX1Home,0,0,0,InShuttle,X1,Home,0,0,1,0,0,0,0,0,AxmHomeReadSignal,0,,,Home Sensor Status
xInShuttleX1NegativeLimit,0,0,0,InShuttle,X1,NegativeLimit,0,0,1,0,0,0,0,0,AxmSignalReadLimitN,0,,,Minus Limit Sensor Status
yInShuttleX1InposEnable,0,0,1,InShuttle,X1,InposEnable,1,0,0,0,0,0,0,0,AxmSignalSetInpos,0,,,Inposition Enable Set Command
