Name,Index,Offset,IoType,Unit,Item,Action,Device,DataType,ContactPoint,IsSubscription,Default,Min,Max,Timeout,AlarmCode,ExeCmd,ActuatorId,Options,SimCmd,Desc
sxDeviceInRobot,0,0,2,Device,InRobot,,InRobot,1,0,1,0,0,0,0,0,,0,,,Device Open / Close Status
syDeviceInRobot,0,0,3,Device,InRobot,,InRobot,1,0,0,0,0,0,0,0,,1,127.0.0.1/17000/81,sxDeviceInrobot/0/0/0/100;,Device Open / Close Command
xDeviceLibraryVersion,0,0,0,Device,Library,Version,InRobot,2,0,0,0,0,0,0,0,AxlGetLibVersion,0,,,Device Library Version
xInRobotClient1Connect,0,0,0,InRobot,Client1,Connect,InRobot,2,0,0,0,0,0,0,0,,0,,,TCP Clicent Connect Status
yInRobotSendOffset,0,0,1,InRobot,,SendOffset,InRobot,0,0,0,1,0,1,0,0,,0,,,
yInRobotOffsetdataLOAD_POSITION_A,0,0,1,InRobot,Offsetdata,LOAD_POSITION_A,InRobot,2,0,0,0,0,1,0,0,0/0/0/0/0/0/0/0,0,,,101/1111/NACHI_IN_ROBOT/LOAD_POSITION_A/0/0/0/0/0/0/0/0
yInRobotOffsetdataLOAD_POSITION_B,0,0,1,InRobot,Offsetdata,LOAD_POSITION_B,InRobot,2,0,0,0,0,1,0,0,0/0/0/0/0/0/0/0,0,,,102/1111/NACHI_IN_ROBOT/LOAD_POSITION_B/0/0/0/0/0/0/0/0
yInRobotOffsetdataMCR_POSITION_A,0,0,1,InRobot,Offsetdata,MCR_POSITION_A,InRobot,2,0,0,0,0,1,0,0,3/0/0/0/0/0/0/0,0,,,103/1111/NACHI_IN_ROBOT/MCR_POSITION_A/3/0/0/0/0/0/0/0
yInRobotOffsetdataMCR_POSITION_B,0,0,1,InRobot,Offsetdata,MCR_POSITION_B,InRobot,2,0,0,0,0,1,0,0,4/0/0/0/0/0/0/0,0,,,104/1111/NACHI_IN_ROBOT/MCR_POSITION_B/4/0/0/0/0/0/0/0
yInRobotOffsetdataUNLOAD_POSITION_A,0,0,1,InRobot,Offsetdata,UNLOAD_POSITION_A,InRobot,2,0,0,0,0,1,0,0,4/0/0/0/0/0/0/0,0,,,105/1111/NACHI_IN_ROBOT/UNLOAD_POSITION_A/0/0/0/0/0/0/0/0
yInRobotOffsetdataUNLOAD_POSITION_B,0,0,1,InRobot,Offsetdata,UNLOAD_POSITION_B,InRobot,2,0,0,0,0,1,0,0,4/0/0/0/0/0/0/0,0,,,106/1111/NACHI_IN_ROBOT/UNLOAD_POSITION_B/0/0/0/0/0/0/0/0
yInRobotOffsetdataBPN_A,0,0,1,InRobot,Offsetdata,BPN_A,InRobot,2,0,0,0,0,1,0,0,0/0/0/0/0/0/0/0,0,,,121/9999/NACHI_IN_ROBOT/BPN/0/0/0/0/0/0/0/0
yInRobotOffsetdataBPN_B,0,0,1,InRobot,Offsetdata,BPN_B,InRobot,2,0,0,0,0,1,0,0,1/0/0/0/0/0/0/0,0,,,122/9999/NACHI_IN_ROBOT/BPn/1/0/0/0/0/0/0/0
yInRobotOffsetdataBPO_A,0,0,1,InRobot,Offsetdata,BPO_A,InRobot,2,0,0,0,0,1,0,0,2/0/0/0/0/0/0/0,0,,,123/9999/NACHI_IN_ROBOT/BPO/2/0/0/0/0/0/0/0
yInRobotOffsetdataBPO_B,0,0,1,InRobot,Offsetdata,BPO_B,InRobot,2,0,0,0,0,1,0,0,3/0/0/0/0/0/0/0,0,,,124/9999/NACHI_IN_ROBOT/BPo/3/0/0/0/0/0/0/0
yInRobotOffsetdataBPP_A,0,0,1,InRobot,Offsetdata,BPP_A,InRobot,2,0,0,0,0,1,0,0,4/0/0/0/0/0/0/0,0,,,125/9999/NACHI_IN_ROBOT/BPP/4/0/0/0/0/0/0/0
