Name,Index,Offset,IoType,Unit,Item,Action,DataType,IsAorB,IsSubscription,Default,Min,Max,Timeout,AlarmCode,ExeCmd,ActuatorId,SimCmd,Options,Desc
sxDeviceMotion,0,0,2,Device,Motion,,1,0,1,0,0,0,0,0,,0,,,Device Open / Close Status
syDeviceMotion,0,0,3,Device,Motion,,1,0,0,0,0,0,0,0,,1,sxDeviceMotion/0/0/0/0,,Device Open / Close Command
xDeviceDriverVersion,0,0,0,Device,Driver,Version,2,0,0,0,0,0,0,0,Version,0,,,Driver Version
xDeviceExternalLibVersion,0,0,0,Device,ExternalLib,Version,2,0,0,0,0,0,0,0,ExtenalLibVersion,0,,,Device Library Version
xMotionSignalPositiveLimit,0,0,0,Motion,,SignalPositiveLimit,0,0,1,0,0,0,0,0,SignalPositiveLimit,0,,,Plus Limit Sensor Status
xMotionSignalHome,0,0,0,Motion,,SignalHome,0,0,1,0,0,0,0,0,SignalHome,0,,,Home Sensor Status
xMotionSignalNegativeLimit,0,0,0,Motion,,SignalNegativeLimit,0,0,1,0,0,0,0,0,SignalNegativeLimit,0,,,Minus Limit Sensor Status
xMotionSignalInpos,0,0,0,Motion,,SignalInpos,0,0,1,0,0,0,0,0,SignalInpos,0,,,Inposition Status
xMotionSignalBusy,0,0,0,Motion,,SignalBusy,0,0,1,0,0,0,0,0,SignalBusy,0,,,Motion Busy Status
yMotionServoOn,0,0,1,Motion,,ServoOn,0,0,0,1,0,1,0,0,ServoOn,0,,,Servo On Command
xMotionServoOn,0,0,0,Motion,,ServoOn,0,0,1,0,0,1,0,0,ServoOn,0,,,Servo On Status
yMotionAlarmReset,0,0,1,Motion,,AlarmReset,0,0,0,0,0,0,0,0,AlarmReset,0,,,Alarm Reset Command
xMotionAlarmStatus,0,0,0,Motion,,AlarmStatus,0,0,1,0,0,0,0,0,Alarm,0,,,Alarm Status
xMotionAlarmCode,0,0,0,Motion,,AlarmCode,1,0,1,0,0,0,0,0,AlarmCode,0,,,Alarm Code
yMotionHoming,0,0,1,Motion,,Homing,0,0,0,0,0,0,0,0,Homing,0,,,Homing Command
xMotionHomingStatus,0,0,0,Motion,,HomingStatus,0,0,1,0,0,0,0,0,Homing,0,,,Homing Status
yMotionPosMatch,0,0,1,Motion,,PosMatch,0,0,0,0,0,0,0,0,PositionMatch,0,,,Position Matching (Zero Reset)
yMotionStop,0,0,1,Motion,,Stop,0,0,0,0,0,0,0,0,Stop,0,,,Move Stop Command
xMotionStopStatus,0,0,0,Motion,,StopStatus,0,0,1,0,0,0,0,0,Stop,0,,,Move Stop Status
yMotionEStop,0,0,1,Motion,,EStop,0,0,0,0,0,0,0,0,EStop,0,,,Move Sstop Command
yMotionSStop,0,0,1,Motion,,SStop,0,0,0,0,0,0,0,0,SStop,0,,,Move Estop Command
yMotionInposEnable,0,0,1,Motion,,InposEnable,0,0,0,0,0,0,0,0,InpositionEnable,0,,,Inposition Enable Set Command
xMotionInposEnable,0,0,0,Motion,,InposEnable,0,0,1,0,0,0,0,0,InpositionEnable,0,,,Low=0; High=1; Unused=2; Used=3
