Name,Index,Offset,IoType,Unit,Item,Action,DataType,IsAorB,IsSubscription,Default,Min,Max,Timeout,AlarmCode,ExeCmd,ActuatorId,SimCmd,Options,Desc
sxDeviceMotion,1,0,2,Device,Motion,,1,0,1,0,0,0,0,0,,0,,,Device Open / Close Status
syDeviceMotion,1,0,3,Device,Motion,,1,0,0,0,0,0,0,0,,1,sxDeviceMotion/0/0/0/0,,Device Open / Close Command
xDeviceDriverVersion,1,0,0,Device,Driver,Version,2,0,0,0,0,0,0,0,Version,0,,,Driver Version
xDeviceExternalLibVersion,1,0,0,Device,ExternalLib,Version,2,0,0,0,0,0,0,0,ExtenalLibVersion,0,,,Device Library Version
xMotionSignalPositiveLimit,1,0,0,Motion,,SignalPositiveLimit,0,0,1,0,0,0,0,0,SignalPositiveLimit,0,,,Plus Limit Sensor Status
xMotionSignalHome,1,0,0,Motion,,SignalHome,0,0,1,0,0,0,0,0,SignalHome,0,,,Home Sensor Status
xMotionSignalNegativeLimit,1,0,0,Motion,,SignalNegativeLimit,0,0,1,0,0,0,0,0,SignalNegativeLimit,0,,,Minus Limit Sensor Status
xMotionSignalInpos,1,0,0,Motion,,SignalInpos,0,0,1,0,0,0,0,0,SignalInpos,0,,,Inposition Status
xMotionSignalBusy,1,0,0,Motion,,SignalBusy,0,0,1,0,0,0,0,0,SignalBusy,0,,,Motion Busy Status
yMotionServoOn,1,0,1,Motion,,ServoOn,0,0,0,1,0,1,0,0,ServoOn,0,,,Servo On Command
xMotionServoOn,1,0,0,Motion,,ServoOn,0,0,1,0,0,1,0,0,ServoOn,0,,,Servo On Status
yMotionAlarmReset,1,0,1,Motion,,AlarmReset,0,0,0,0,0,0,0,0,AlarmReset,0,,,Alarm Reset Command
xMotionAlarmStatus,1,0,0,Motion,,AlarmStatus,0,0,1,0,0,0,0,0,Alarm,0,,,Alarm Status
xMotionAlarmCode,1,0,0,Motion,,AlarmCode,1,0,1,0,0,0,0,0,AlarmCode,0,,,Alarm Code
yMotionHoming,1,0,1,Motion,,Homing,0,0,0,0,0,0,0,0,Homing,0,,,Homing Command
xMotionHomingStatus,1,0,0,Motion,,HomingStatus,0,0,1,0,0,0,0,0,Homing,0,,,Homing Status
yMotionPosMatch,1,0,1,Motion,,PosMatch,0,0,0,0,0,0,0,0,PositionMatch,0,,,Position Matching (Zero Reset)
yMotionStop,1,0,1,Motion,,Stop,0,0,0,0,0,0,0,0,Stop,0,,,Move Stop Command
xMotionStopStatus,1,0,0,Motion,,StopStatus,0,0,1,0,0,0,0,0,Stop,0,,,Move Stop Status
yMotionEStop,1,0,1,Motion,,EStop,0,0,0,0,0,0,0,0,EStop,0,,,Move Sstop Command
yMotionSStop,1,0,1,Motion,,SStop,0,0,0,0,0,0,0,0,SStop,0,,,Move Estop Command
yMotionInposEnable,1,0,1,Motion,,InposEnable,0,0,0,0,0,0,0,0,InpositionEnable,0,,,Inposition Enable Set Command
xMotionInposEnable,1,0,0,Motion,,InposEnable,0,0,1,0,0,0,0,0,InpositionEnable,0,,,Low=0; High=1; Unused=2; Used=3
yMotionInposRange,1,0,1,Motion,,InposRange,1,0,0,0,0,0,0,0,InposRange,0,,,Inposition Range Set
xMotionInposRange,1,0,0,Motion,,InposRange,1,0,1,0,0,0,0,0,InposRange,0,,,Inposition Range Value
yMotionMoveMode,1,0,1,Motion,,MoveMode,0,0,0,0,0,0,0,0,MoveModeSelect,0,,,Move Mode Set Command
xMotionMoveMode,1,0,0,Motion,,MoveMode,0,0,1,0,0,0,0,0,MoveMode,0,,,Move Mode Status ABS=0; REL=1;
yMotionMove,1,0,1,Motion,,Move,1,0,0,0,0,0,0,0,MoveStart,0,,,Move Command
xMotionCommand,1,0,0,Motion,,Command,1,0,1,0,0,0,0,0,CommandPosisiton,0,,,Target Position
xMotionActual,1,0,0,Motion,,Actual,1,0,1,0,0,0,0,0,ActualPosition,0,,,Current Position
yMotionVelocityMin,1,0,1,Motion,,VelocityMin,1,0,0,0,0,0,0,0,MinVel,0,,,Minimum Velocity Set Command
yMotionVelocityMax,1,0,1,Motion,,VelocityMax,1,0,0,0,0,0,0,0,MaxVel,0,,,Maximum Velocity Set Command
xMotionVelocityMin,1,0,0,Motion,,VelocityMin,1,0,1,0,0,0,0,0,MinVel,0,,,Current Minimum Velocity .
xMotionVelocityMax,1,0,0,Motion,,VelocityMax,1,0,1,0,0,0,0,0,MaxVel,0,,,Current Maximum Velocity .
yMotionVelocity,1,0,1,Motion,,Velocity,1,0,0,0,0,0,0,0,Velocity,0,,,Move Velocity Set Command.
xMotionVelocity,1,0,0,Motion,,Velocity,1,0,1,0,0,0,0,0,Velocity,0,,,Current Move Velocity Value.
yMotionAccel,1,0,1,Motion,,Accel,1,0,0,10,0,0,0,0,Accel,0,,,Move Acceleration Set Command.
xMotionAccel,1,0,0,Motion,,Accel,1,0,1,10,0,0,0,0,Accel,0,,,Current Move Acceleration Value.
yMotionDecel,1,0,1,Motion,,Decel,1,0,0,10,0,0,0,0,Decel,0,,,Move Deceleration Set Command.
xMotionDecel,1,0,0,Motion,,Decel,1,0,1,10,0,0,0,0,Decel,0,,,Current Move Deceleration Value.
yMotionHomeVelocity,1,0,1,Motion,,HomeVelocity,1,0,0,0,0,0,0,0,HomingVel,0,,,Home Velocity & Accel Set Command.
yMotionHomeVel1st,1,0,1,Motion,,HomeVel1st,1,0,0,0,0,0,0,0,HomingVel1st,0,,,Home 1st Velocity Buffer Write Only
yMotionHomeVel2nd,1,0,1,Motion,,HomeVel2nd,1,0,0,0,0,0,0,0,HomingVel2nd,0,,,Home 2nf Velocity Buffer  Write Only
yMotionHomeVel3rd,1,0,1,Motion,,HomeVel3rd,1,0,0,0,0,0,0,0,HomingVel3rd,0,,,Home 3rd Velocity Buffer  Write Only
